Full_Address,Bedrooms,Bathrooms,Price,Latitude,Longitude,City_Brampton,City_Markham,City_Mississauga,City_Toronto,City_Vaughan,Home_Type_CONDO,Home_Type_SINGLE_FAMILY,Home_Type_TOWNHOUSE
"625 The West Mall PENTHOUSE 5, Toronto, ON M9C 4W9",3,2,729999,43.814484,-79.325325,0,0,0,1,0,1,0,0
"214 Winona Dr, Toronto, ON M6C 3S2",3,4,1789000,43.678783,-79.49515,0,0,0,1,0,0,1,0
"8 Delia Ct, Toronto, ON M3H 3G8",3,3,1999900,43.787228,-79.19468,0,0,0,1,0,0,0,1
"500 Saint Clair Ave W #709, Toronto, ON M6C 1A8",1,1,648000,43.72016,-79.33666,0,0,0,1,0,1,0,0
"56 Brampton Rd, Toronto, ON M9R 3J7",2,2,1298888,43.69384,-79.44214,0,0,0,1,0,0,1,0
"481 Guildwood Pkwy, Toronto, ON M1E 1R3",4,6,4788000,43.733253,-79.446014,0,0,0,1,0,1,0,0
"2150 Bayview Ave, Toronto, ON M4N 0A4",3,3,1299000,43.601597,-79.510155,0,0,0,1,0,1,0,0
"1830 Bloor St W #712, Toronto, ON M6P 0A2",2,2,1265000,43.652245,-79.37764,0,0,0,1,0,1,0,0
"15 Vicora Linkway #915, Toronto, ON M3C 1A9",2,1,539900,43.732376,-79.53698,0,0,0,1,0,1,0,0
"162 Oakridge Dr, Toronto, ON M1M 2A8",2,2,1175000,43.66115,-79.38163,0,0,0,1,0,1,0,0
"53 Guestville Ave, Toronto, ON M6N 4N4",2,2,649900,43.636406,-79.466064,0,0,0,1,0,1,0,0
"25 Acorn Ave, Toronto, ON M9B 3P7",2,1,849000,43.7026,-79.2919,0,0,0,1,0,0,1,0
"34 Clematis Rd, Toronto, ON M2J 4X2",4,2,799000,43.643913,-79.400116,0,0,0,1,0,1,0,0
"1 Hickory Tree Rd #2007, Toronto, ON M9N 3W4",1,1,498000,43.64975,-79.365654,0,0,0,1,0,1,0,0
"3233 Eglinton Ave E #1112, Toronto, ON M1J 3N6",1,1,499000,43.698013,-79.51368,0,0,0,1,0,1,0,0
"1 King St W #1118, Toronto, ON M5H 1A1",1,1,405000,43.767727,-79.37062,0,0,0,1,0,1,0,0
"33 Mill St #1109, Toronto, ON M5A 3R3",1,1,599900,43.681454,-79.28247,0,0,0,1,0,1,0,0
"2059 Weston Rd #44, Toronto, ON M9N 1X7",3,3,785000,43.795807,-79.32518,0,0,0,1,0,1,0,0
"3600 Yonge St #235, Toronto, ON M4N 3R8",2,3,2185000,43.722855,-79.45715,0,0,0,1,0,1,0,0
"1720 Eglinton Ave E #202, Toronto, ON M4A 2X8",2,2,675000,43.64044,-79.39719,0,0,0,1,0,1,0,0
"181 Dundas St E #2609, Toronto, ON M5A 0N5",1,1,659000,43.720276,-79.34794,0,0,0,1,0,1,0,0
"16 Wellesley Ave, Toronto, ON M4X 1V3",4,3,1649000,43.758007,-79.40434,0,0,0,1,0,1,0,0
"200 Manitoba St #401, Toronto, ON M8Y 3Y9",1,2,799000,43.711792,-79.32778,0,0,0,1,0,0,0,1
"675 Brimley Rd, Toronto, ON M1J 1C1",2,2,959800,43.655106,-79.37625,0,0,0,1,0,1,0,0
"93 Regent Rd, Toronto, ON M3K 1H2",4,5,1799000,43.79244,-79.33577,0,0,0,1,0,0,0,1
"5 Frith Rd #412, Toronto, ON M3N 2L5",1,1,398000,43.641994,-79.381584,0,0,0,1,0,1,0,0
"1B Bowsprit Ave, Toronto, ON M9P 2Y4",3,3,1390000,43.656807,-79.37509,0,0,0,1,0,1,0,0
"1121 Bay St #605, Toronto, ON M5S 3L9",1,1,685000,43.6833,-79.48873,0,0,0,1,0,0,1,0
"3121 Sheppard Ave E #1905, Toronto, ON M1T 0B6",3,2,699000,43.79331,-79.237,0,0,0,1,0,0,0,1
"183 Wellington St W #2606, Toronto, ON M5V 0A1",2,3,3350000,43.65057,-79.35727,0,0,0,1,0,1,0,0
"1 Neighbourhood Ln #101, Toronto, ON M8Y 0C2",1,1,539900,43.656967,-79.37412,0,0,0,1,0,1,0,0
"5 Pheasant Ln, Toronto, ON M9A 1T1",4,5,8300000,43.72016,-79.33666,0,0,0,1,0,1,0,0
"16 Teagarden Ct, Toronto, ON M2N 5Z9",4,4,1999900,43.646847,-79.40283,0,0,0,1,0,1,0,0
"2 Eva Rd #2121, Toronto, ON M9C 0A9",1,1,549999,43.642544,-79.38146,0,0,0,1,0,1,0,0
"856 Danforth Rd, Toronto, ON M1K 1H5",3,2,699000,43.72638,-79.31152,0,0,0,1,0,1,0,0
"77 Saint Georges Blvd, Toronto, ON M9R 1X5",4,5,3499999,43.647938,-79.39094,0,0,0,1,0,1,0,0
"275 Yorkland Rd #1504, Toronto, ON M2J 0B4",1,1,499000,43.790024,-79.25466,0,0,0,1,0,1,0,0
"185 Legion Rd N #2110, Toronto, ON M8Y 0A1",1,1,539900,43.7191,-79.30226,0,0,0,1,0,1,0,0
"11 Pont Ln, Toronto, ON M9N 0A7",3,2,869999,43.77366,-79.249855,0,0,0,1,0,1,0,0
"6 Eva Rd #1407, Toronto, ON M9C 0B1",2,2,539000,43.668037,-79.38844,0,0,0,1,0,1,0,0
"2645 Kipling Ave #404, Toronto, ON M9V 3S6",2,2,499000,43.79894,-79.31347,0,0,0,1,0,0,0,1
"4060 Lawrence Ave E #103, Toronto, ON M1E 4V4",2,1,349900,43.641872,-79.379654,0,0,0,1,0,1,0,0
"58 Fuller Ave, Toronto, ON M6R 2C3",3,2,899000,43.641872,-79.379654,0,0,0,1,0,1,0,0
"2 Eva Rd #828, Toronto, ON M9C 0A9",1,1,579900,43.70606,-79.397766,0,0,0,1,0,1,0,0
"75 Canterbury Pl #310, Toronto, ON M2N 0J3",1,1,588000,43.791588,-79.235374,0,0,0,1,0,0,0,1
"552 Sandhurst Cir, Toronto, ON M1S 4J6",3,2,950000,43.652874,-79.58087,0,0,0,1,0,0,0,1
"88 Park Lawn Rd #801, Toronto, ON M8Y 0B5",1,1,599000,43.643063,-79.42813,0,0,0,1,0,1,0,0
"33 Northleigh Dr, Toronto, ON M1H 2S3",3,3,998800,43.66379,-79.383026,0,0,0,1,0,1,0,0
"122 Portsdown Rd, Toronto, ON M1P 1V5",5,5,1099000,43.774075,-79.2502,0,0,0,1,0,1,0,0
"1250 Bridletowne Cir #1006, Toronto, ON M1W 2V1",2,1,499900,43.779842,-79.28196,0,0,0,1,0,1,0,0
"10 Capreol Ct #1809, Toronto, ON M5V 4B3",3,2,1156000,43.72679,-79.328125,0,0,0,1,0,1,0,0
"434 Victoria Park Ave, Toronto, ON M4E 3T2",5,4,3490000,43.70423,-79.39735,0,0,0,1,0,1,0,0
"5229 Dundas St W #1809, Toronto, ON M9B 6L9",1,1,499000,43.72722,-79.25308,0,0,0,1,0,0,1,0
"17B Relmar Rd, Toronto, ON M5P 2Y4",3,4,2480000,43.771736,-79.26138,0,0,0,1,0,1,0,0
"116 Wheeler Ave, Toronto, ON M4L 3V2",3,3,1499000,43.672108,-79.40125,0,0,0,1,0,0,0,1
"16 Bailey Cres, Toronto, ON M1G 2P3",3,2,849000,43.77866,-79.417946,0,0,0,1,0,1,0,0
