no,Address,zipcode,city,latitude,longitude,price,bathrooms,bedrooms,homeType
156,108 Westolivia Trl,L4J0C2,Vaughan,43.838173,-79.4822,1348000,3,3,SINGLE_FAMILY
157,7 Orion Ave,L4H0B3,Vaughan,43.85677,-79.55346,1348800,4,4,SINGLE_FAMILY
158,1 Maison Parc Ct PENTHOUSE 1,L4J9K1,Vaughan,43.7885,-79.46937,1349000,3,3,CONDO
159,47 Kayla Cres,L6A3P5,Vaughan,43.842896,-79.53199,1349000,3,3,SINGLE_FAMILY
160,262 Thomas Cook Ave,L6A4Z9,Vaughan,43.85214,-79.4723,1349000,4,4,TOWNHOUSE
161,21 Blackthorn Dr,L6A3N4,Vaughan,43.86842,-79.51735,1350000,3,3,SINGLE_FAMILY
162,189 Stonebriar Dr,L6A4A3,Vaughan,43.867,-79.51255,1366888,4,3,SINGLE_FAMILY
163,12 Alliston Rd,L4L1E4,Vaughan,43.81247,-79.5715,1375000,4,5,SINGLE_FAMILY
164,53 Powseland Cres,L4L0C5,Vaughan,43.79267,-79.59912,1384900,2,3,TOWNHOUSE
165,53 Croteau Cres,L4J5S8,Vaughan,43.845,-79.4325,1388000,4,4,SINGLE_FAMILY
166,116 Mahogany Forest Dr,L6A0S5,Vaughan,43.84977,-79.499756,1388000,4,4,TOWNHOUSE
167,99 Algoma Dr N,L4H4H5,Vaughan,,,1388800,3,3,SINGLE_FAMILY
168,55 Sherbourne Dr,L6A1H1,Vaughan,43.85281,-79.5766,1399800,3,3,SINGLE_FAMILY
169,10 Pelee Ave,L4H3Y2,Vaughan,43.82792,-79.65182,1399900,4,3,SINGLE_FAMILY
170,76 Trafalgar Sq,L4J7M5,Vaughan,43.819817,-79.451485,1428000,4,4,SINGLE_FAMILY
171,346 Avro Rd,L6A3R5,Vaughan,43.84682,-79.53212,1429000,3,3,SINGLE_FAMILY
172,56 Alex Black St,L6A0V5,Vaughan,43.86553,-79.486374,1438000,4,4,SINGLE_FAMILY
173,144 Jackman Cres,L4L6P1,Vaughan,43.787823,-79.613434,1445000,4,4,SINGLE_FAMILY
174,23 Jackman Cres,L4L6P3,Vaughan,43.78725,-79.61317,1449000,4,4,SINGLE_FAMILY
175,49 Gina Dr,L6A3X3,Vaughan,43.852318,-79.54796,1449000,4,4,SINGLE_FAMILY
176,52 Seafield Rd,L6A2H4,Vaughan,43.838947,-79.5222,1449900,4,4,SINGLE_FAMILY
177,173 Sassafras Cir,L4J8M6,Vaughan,43.824196,-79.47116,1468000,4,3,SINGLE_FAMILY
178,140 Dina Rd,L6A1L3,Vaughan,43.841965,-79.5829,1474900,4,3,SINGLE_FAMILY
179,241 Matthew Dr,L4L9B4,Vaughan,43.791397,-79.56555,1479000,4,4,SINGLE_FAMILY
180,196 Marlott Rd,L6A1H2,Vaughan,43.853325,-79.5545,1479900,5,4,SINGLE_FAMILY
181,15 Havenbrook Ct,L4J7K2,Vaughan,43.798847,-79.46766,1488000,4,4,SINGLE_FAMILY
182,46 Turning Leaf Dr,L4H2J5,Vaughan,,,1488000,3,4,SINGLE_FAMILY
183,50 Shawbridge Blvd,L4H1J2,Vaughan,43.811176,-79.61738,1488000,3,3,SINGLE_FAMILY
184,556 Barons St,L4H4T9,Vaughan,,,1488888,3,3,TOWNHOUSE
185,451 Greenock Dr,L6A1M6,Vaughan,43.84553,-79.51952,1490000,3,3,SINGLE_FAMILY
186,60 Brownridge Dr,L4J7R8,Vaughan,43.8664,-79.4692,1495000,4,4,SINGLE_FAMILY
187,63 Royal Pine Ave,L4H1S9,Vaughan,43.817535,-79.6884,1498000,4,3,SINGLE_FAMILY
188,158 Farooq Blvd,L4H4S1,Vaughan,43.846565,-79.56395,1498000,4,4,TOWNHOUSE
189,133 Freemont St,L4K5H8,Vaughan,,,1498000,3,3,SINGLE_FAMILY
190,154 Mistysugar Trl,L4J8T4,Vaughan,43.828125,-79.4711,1499000,4,4,SINGLE_FAMILY
191,28 Falvo St,L6A4A5,Vaughan,43.8671,-79.5926,1499000,3,3,SINGLE_FAMILY
192,156 Beechnut Rd,L4L6T6,Vaughan,43.793182,-79.6263,1499000,4,4,SINGLE_FAMILY
193,8185 Martin Grove Rd,L4L3W9,Vaughan,43.788662,-79.61244,1499000,4,4,SINGLE_FAMILY
194,48 Mosswood Rd,L4J9E1,Vaughan,43.842518,-79.467476,1499000,4,3,SINGLE_FAMILY
195,221 Spring Gate Blvd,L4J3G3,Vaughan,43.8837,-79.434456,1499000,5,4,SINGLE_FAMILY
196,118 Wallace St,L4L2P4,Vaughan,,,1499000,4,3,SINGLE_FAMILY
197,29 Millcreek Cres,L4J6N5,Vaughan,43.798916,-79.45953,1499000,3,4,SINGLE_FAMILY
198,152 Cabinet Cres,L4L6E5,Vaughan,43.791336,-79.62334,1499900,4,4,SINGLE_FAMILY
199,16 Dicarlo Dr,L6A1K4,Vaughan,43.843147,-79.5314,1499900,4,6,SINGLE_FAMILY
200,349 Sunset Rdg,L4H1Z5,Vaughan,43.824142,-79.62223,1499999,4,4,SINGLE_FAMILY
201,161 Spring Gate Blvd,L4J3B2,Vaughan,43.88517,-79.43228,1520000,4,4,SINGLE_FAMILY
202,7 Buttermill Ave #TOWNHOUSE,L4K3X1,Vaughan,43.798744,-79.5337,1548000,2,3,TOWNHOUSE
