,Full_Address,Bedrooms,Bathrooms,Price,City,Home_Type,Latitude,Longitude
120,"5 Pheasant Ln, Toronto, ON M9A 1T1",4,5,8300000,Toronto,CONDO,43.72016,-79.33666
121,"16 Teagarden Ct, Toronto, ON M2N 5Z9",4,4,1999900,Toronto,CONDO,43.646847,-79.40283
122,"2 Eva Rd #2121, Toronto, ON M9C 0A9",1,1,549999,Toronto,CONDO,43.642544,-79.38146
123,"856 Danforth Rd, Toronto, ON M1K 1H5",3,2,699000,Toronto,CONDO,43.72638,-79.31152
124,"77 Saint Georges Blvd, Toronto, ON M9R 1X5",4,5,3499999,Toronto,CONDO,43.647938,-79.39094
125,"275 Yorkland Rd #1504, Toronto, ON M2J 0B4",1,1,499000,Toronto,CONDO,43.790024,-79.25466
126,"185 Legion Rd N #2110, Toronto, ON M8Y 0A1",1,1,539900,Toronto,CONDO,43.7191,-79.30226
127,"11 Pont Ln, Toronto, ON M9N 0A7",3,2,869999,Toronto,CONDO,43.77366,-79.249855
128,"6 Eva Rd #1407, Toronto, ON M9C 0B1",2,2,539000,Toronto,CONDO,43.668037,-79.38844
129,"2645 Kipling Ave #404, Toronto, ON M9V 3S6",2,2,499000,Toronto,TOWNHOUSE,43.79894,-79.31347
130,"4060 Lawrence Ave E #103, Toronto, ON M1E 4V4",2,1,349900,Toronto,CONDO,43.641872,-79.379654
131,"58 Fuller Ave, Toronto, ON M6R 2C3",3,2,899000,Toronto,CONDO,43.641872,-79.379654
132,"2 Eva Rd #828, Toronto, ON M9C 0A9",1,1,579900,Toronto,CONDO,43.70606,-79.397766
133,"75 Canterbury Pl #310, Toronto, ON M2N 0J3",1,1,588000,Toronto,TOWNHOUSE,43.791588,-79.235374
134,"552 Sandhurst Cir, Toronto, ON M1S 4J6",3,2,950000,Toronto,TOWNHOUSE,43.652874,-79.58087
135,"88 Park Lawn Rd #801, Toronto, ON M8Y 0B5",1,1,599000,Toronto,CONDO,43.643063,-79.42813
136,"33 Northleigh Dr, Toronto, ON M1H 2S3",3,3,998800,Toronto,CONDO,43.66379,-79.383026
137,"122 Portsdown Rd, Toronto, ON M1P 1V5",5,5,1099000,Toronto,CONDO,43.774075,-79.2502
138,"1250 Bridletowne Cir #1006, Toronto, ON M1W 2V1",2,1,499900,Toronto,CONDO,43.779842,-79.28196
139,"10 Capreol Ct #1809, Toronto, ON M5V 4B3",3,2,1156000,Toronto,CONDO,43.72679,-79.328125
140,"434 Victoria Park Ave, Toronto, ON M4E 3T2",5,4,3490000,Toronto,CONDO,43.70423,-79.39735
141,"5229 Dundas St W #1809, Toronto, ON M9B 6L9",1,1,499000,Toronto,SINGLE_FAMILY,43.72722,-79.25308
142,"17B Relmar Rd, Toronto, ON M5P 2Y4",3,4,2480000,Toronto,CONDO,43.771736,-79.26138
143,"116 Wheeler Ave, Toronto, ON M4L 3V2",3,3,1499000,Toronto,TOWNHOUSE,43.672108,-79.40125
144,"16 Bailey Cres, Toronto, ON M1G 2P3",3,2,849000,Toronto,CONDO,43.77866,-79.417946
145,"370 Dixon Rd #1006, Toronto, ON M9R 1T2",2,1,449000,Toronto,CONDO,43.740112,-79.43508
146,"50 Brian Harrison Way #2404, Toronto, ON M1P 5J4",2,2,649900,Toronto,CONDO,43.790176,-79.44959
